,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
94,1956-11-30,10678.600170619786,0,1956,11,30,48,4,335,4,Fall,0.8660254037844384,-0.9009688679024191
95,1956-12-31,38525.800514385104,0,1956,12,31,1,0,366,4,Winter,1.0,1.0
96,1957-01-31,18971.200311221182,0,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
97,1957-02-28,30547.000439353287,0,1957,2,28,9,3,59,1,Winter,0.5000000000000001,-0.900968867902419
98,1957-03-31,36361.90061709285,0,1957,3,31,13,6,90,1,Spring,6.123233995736766e-17,0.6234898018587334
99,1957-04-30,12959.900220364332,0,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
100,1957-05-31,10055.30021341145,0,1957,5,31,22,4,151,2,Spring,-0.8660254037844387,-0.9009688679024191
101,1957-06-30,7302.100144699216,0,1957,6,30,26,6,181,2,Summer,-1.0,0.6234898018587334
102,1957-07-31,5083.100091867149,0,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
103,1957-08-31,4650.500060632825,0,1957,8,31,35,5,243,3,Summer,-0.5000000000000004,-0.2225209339563146
104,1957-09-30,5385.500086195767,0,1957,9,30,40,0,273,3,Fall,-1.8369701987210297e-16,1.0
105,1957-10-31,19614.300336927176,0,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
106,1957-11-30,18222.90030965954,0,1957,11,30,48,5,334,4,Fall,0.8660254037844384,-0.2225209339563146
107,1957-12-31,50602.2007919997,0,1957,12,31,1,1,365,4,Winter,1.0,0.6234898018587336
108,1958-01-31,43484.80074041337,0,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
109,1958-02-28,40369.10064005852,0,1958,2,28,9,4,59,1,Winter,0.5000000000000001,-0.9009688679024191
110,1958-03-31,16311.200304031372,0,1958,3,31,14,0,90,1,Spring,6.123233995736766e-17,1.0
111,1958-04-30,21649.200353465974,0,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
112,1958-05-31,5208.500079780817,0,1958,5,31,22,5,151,2,Spring,-0.8660254037844387,-0.2225209339563146
113,1958-06-30,8682.900117352605,0,1958,6,30,27,0,181,2,Summer,-1.0,1.0
114,1958-07-31,962.4000070914626,0,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
115,1958-08-31,2273.700064226985,0,1958,8,31,35,6,243,3,Summer,-0.5000000000000004,0.6234898018587334
116,1958-09-30,8219.100170359015,0,1958,9,30,40,1,273,3,Fall,-1.8369701987210297e-16,0.6234898018587336
117,1958-10-31,21348.500429555774,0,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
118,1958-11-30,42395.60081240535,0,1958,11,30,48,6,334,4,Fall,0.8660254037844384,0.6234898018587334
119,1958-12-31,34541.80065654218,0,1958,12,31,1,2,365,4,Winter,1.0,-0.22252093395631434
120,1959-01-31,48077.70078712702,0,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
