,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
110,1958-04-30,2,-0.18106937728773298,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
111,1958-07-31,1,-0.5452618193337058,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
112,1958-07-31,2,-2.221619455081898,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
113,1958-07-31,0,-6.249151357446873,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
114,1958-10-31,2,0.2697082510637865,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
115,1958-10-31,0,1.6056238619959253,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
116,1958-10-31,1,-0.9659823037192057,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
117,1959-01-31,2,4.287700300931811,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
118,1959-01-31,0,8.8065975039634,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
119,1959-01-31,1,1.3383789810157565,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
120,1959-04-30,2,-3.2647660524051965,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
121,1959-04-30,1,-0.6834949771064791,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
122,1959-04-30,0,-5.104076383876884,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
123,1959-07-31,1,-0.3615801871925213,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
124,1959-07-31,0,-4.582303756025519,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
125,1959-07-31,2,-1.2229056528432303,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
126,1959-10-31,1,0.5380569052779012,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
127,1959-10-31,0,1.8333932304955551,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
128,1959-10-31,2,1.6499857325607687,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
129,1960-01-31,1,-0.3087359134955666,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
130,1960-01-31,0,3.6741021487735113,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
131,1960-01-31,2,0.5786184197295992,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
132,1960-04-30,1,0.775240663768395,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
133,1960-04-30,0,0.5816402062318469,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
134,1960-04-30,2,-0.6034887568760183,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
135,1960-07-31,1,-0.8520925178792165,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
136,1960-07-31,2,-1.564059897680205,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
137,1960-07-31,0,-5.660496631971263,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
138,1960-10-31,2,0.34455091743122623,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
139,1960-10-31,0,0.7578450039367146,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
140,1960-10-31,1,-0.28611111535150324,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
