,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
216,1956-10-31,0.3680622708702273,1,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
217,1957-01-31,0.4221551325402142,1,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
218,1957-04-30,0.7618809959245697,1,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
219,1957-07-31,0.46882716909458866,1,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
220,1957-10-31,0.3712828833533834,1,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
221,1958-01-31,0.6538915835866845,1,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
222,1958-04-30,0.7220835197085993,1,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
223,1958-07-31,0.5691760709080336,1,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
224,1958-10-31,0.17392646534727327,1,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
225,1959-01-31,0.6404589484353268,1,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
226,1959-04-30,0.42125122053482805,1,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
227,1959-07-31,0.28372249553820905,1,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
228,1959-10-31,0.44759796679887764,1,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
229,1960-01-31,0.36969941666712697,1,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
230,1960-04-30,0.6269547432262466,1,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
231,1960-07-31,0.3012748295046345,1,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
232,1960-10-31,0.21940419040980258,1,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
233,1961-01-31,0.5614331820784751,1,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
234,1961-04-30,0.6240255334912564,1,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
235,1961-07-31,0.31096350466327616,1,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
236,1961-10-31,0.2943907731317156,1,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
237,1962-01-31,0.5670424146798674,1,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
238,1962-04-30,0.5252046149602825,1,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
239,1962-07-31,0.30224101482158183,1,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
240,1962-10-31,0.41247987824877586,1,1962,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
241,1963-01-31,0.4611513755947623,1,1963,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
242,1963-04-30,0.6231238848717984,1,1963,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
243,1963-07-31,0.4177133743323774,1,1963,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
244,1963-10-31,0.2661299023745253,1,1963,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
245,1964-01-31,0.6780864307831851,1,1964,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
246,1964-04-30,0.3510425302615218,1,1964,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
247,1964-07-31,0.4519323762366273,1,1964,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
248,1964-10-31,0.16407676106613775,1,1964,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
249,1965-01-31,1.158051549569492,1,1965,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
250,1965-04-30,0.30575669785778836,1,1965,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
251,1965-07-31,0.3892377949281287,1,1965,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
252,1965-10-31,0.2794820226047046,1,1965,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
253,1966-01-31,0.501127223930633,1,1966,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
254,1966-04-30,0.3575391925407326,1,1966,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
255,1966-07-31,0.2710144981008045,1,1966,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
256,1966-10-31,0.20452227968556613,1,1966,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
257,1967-01-31,0.8725711366194697,1,1967,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
258,1967-04-30,0.47403246754663364,1,1967,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
259,1967-07-31,0.3409957120218027,1,1967,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
260,1967-10-31,0.22336285990441415,1,1967,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
261,1968-01-31,0.3971282943635299,1,1968,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
