,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
201,1953-01-31,4.747926289319046,2,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
202,1953-04-30,2.487507433603539,2,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
203,1953-07-31,1.755778059786403,2,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
204,1953-10-31,1.5077374396734877,2,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
205,1954-01-31,5.025228925707838,2,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
206,1954-04-30,2.350473127491433,2,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
207,1954-07-31,1.5829519707511353,2,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
208,1954-10-31,1.698984586437674,2,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
209,1955-01-31,3.2787328935281566,2,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
210,1955-04-30,3.0622561219561955,2,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
211,1955-07-31,1.759410787222468,2,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
212,1955-10-31,2.147482871791898,2,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
213,1956-01-31,5.49377869681436,2,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
214,1956-04-30,2.200029274692748,2,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
215,1956-07-31,1.5103118104361493,2,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
216,1956-10-31,2.4136728118546733,2,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
217,1957-01-31,2.6301487856960133,2,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
218,1957-04-30,2.956697272934297,2,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
219,1957-07-31,1.8765160532016094,2,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
220,1957-10-31,1.451458833062088,2,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
221,1958-01-31,3.703275235040535,2,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
222,1958-04-30,3.522205857752802,2,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
223,1958-07-31,1.3005864026709044,2,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
224,1958-10-31,1.570294653734691,2,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
225,1959-01-31,5.857994954666502,2,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
226,1959-04-30,2.5932289022613055,2,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
227,1959-07-31,1.3703232494180753,2,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
228,1959-10-31,3.020308981978844,2,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
229,1960-01-31,3.598927401708443,2,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
230,1960-04-30,2.995438644832425,2,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
231,1960-07-31,1.43137874715222,2,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
232,1960-10-31,1.7759296645834461,2,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
233,1961-01-31,3.9597397587481606,2,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
234,1961-04-30,4.103459567745838,2,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
235,1961-07-31,1.6441218865965013,2,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
236,1961-10-31,1.636598999720723,2,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
237,1962-01-31,3.4879720273014216,2,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
238,1962-04-30,2.2170757340517344,2,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
239,1962-07-31,1.2750715334042992,2,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
